"drug.name","targets","pathways"
"D-Para-Chlorophenyl-1-Acteamidoboronic Acid Alanine  |  NA","apr",""
"Beta-D-Fructopyranose  |  NA","lecB",""
"Quinonoid 7,8-Tetrahydrobiopterin  |  NA","PAH",""
"Hexanoyl-Coenzyme A  |  NA","ECHS1",""
"4-Dimethylamino-N-(6-Hydroxycarbamoyethyl)Benzamide-N-Hydroxy-7-(4-Dimethyla Minobenzoyl)Aminoheptanamide  |  NA","HDAC8",""
"8-Hydroxy-4-(1-Hydroxyethyl)Quinoline-2-Carboxylic Acid  |  NA","tpdA | rplK",""
"PD173955  |  6-(2,6-dichlorophenyl)-8-methyl-2-{[3-(methylthio)phenyl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one","ABL","ABL signaling | ABL signaling | ABL signaling | ABL signaling | ABL signaling | ABL signaling"
"Peldesine  |  2-Amino-3,5-dihydro-7-(3-pyridylmethyl)-4H-pyrrolo(3,2-d)pyrimidin-4-one | 4H-Pyrrolo(3,2-d)pyrimidin-4-one, 2-amino-3,5-dihydro-7-(3-pyridinylmethyl)- | Peldesine","PNP",""
"2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Diphosphate  |  NA","NME1",""
"PD150606  |  NA","CAPNS1",""
"2-Amino-6-Oxo-Hexanoic Acid  |  NA","ansB",""
"BV4  |  NA","ctxB",""
"2'-Deoxycytidine-2'-Deoxyadenosine-3',5'-Monophosphate  |  NA","RNASE1",""
"BV2  |  NA","ctxB",""
"F-Loop of Vitamin B12  |  NA","glmS",""
"Glycyl-L-Alpha-Amino-Epsilon-Pimelyl-D-Alanyl-D-Alanine  |  NA","",""
"Acrylic Acid  |  NA","bla",""
"1-(2-Methoxy-Ethoxy)-2-{2-[2-(2-Methoxy-Ethoxy]-Ethoxy}-Ethane  |  NA","PFN2 | bpuJIR | nir |  |  |  | gpmA | purA |  |  | ",""
"5-[2,3-Dichloro-4-(5-{1-[2-(2-Guanidino-4-Methyl-Pentanoylamino)-Acetyl]-Piperidin-4-Yl}-1-Methyl-1h-Pyrazol-3-Yl)-Phenoxymethyl]-Furan-2-Carboxylic Acid  |  NA","IL2",""
"N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine  |  NA","DHFR",""
"4-(Hydroxymethyl)Benzamidine  |  NA","PRSS3",""
"4,7-Dimethyl-[1,10]Phenanthroline  |  NA","azu",""
"Colforsin  |  Forskolin","GNAS | ADCY2 | ADCY5",""
"Moxalactam Derivative  |  NA","ampC",""
"Se-Ethyl-Isoselenourea  |  NA","NOS3",""
"Abequose  |  NA","9",""
"5,6-Dimethylbenzimidazole  |  NA","cobT",""
"Carbaphosphonate  |  NA","aroB",""
"7,8-Dihydroxy-1-Methoxy-3-Methyl-10-Oxo-4,10-Dihydro-1h,3h-Pyrano[4,3-B]Chromene-9-Carboxylic Acid  |  NA","ccrA",""
"2'-Deoxycytidine  |  1-(2-deoxy-.beta.-d-ribofuranosyl)cytosine | 4-amino-1-(2-deoxy-.beta.-d-erythro-pentofuranosyl)-2(1h)-pyrimidinone | dC | dCYD | Deoxyribose cytidine","aphA | DCK | TK2",""
"Bulgecin A  |  NA","mltB | slt",""
"Alpha,Beta-Methyleneadenosine-5'-Triphosphate  |  NA","panC | folK | nadE | NMNAT3 | cyaC | 4 | lipJ | carA",""
"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala  |  NA","MME | nprS | npr",""
"N-Alpha-Acetyl-3,5-Diiodotyrosylglycine  |  NA","PAM",""
"2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One  |  NA","tgt",""
"5-N-Acetyl-3-(1-Ethylpropyl)-1-Cyclohexene-1-Carboxylic Acid  |  NA","NA",""
"AL7182  |  NA","CA2",""
"1-Amino-6-Cyclohex-3-Enylmethyloxypurine  |  NA","CDK2","cell cycle"
"2-Deoxy-Glucose-6-Phosphate  |  NA","PYGM",""
"2-Butanol  |  NA","adh",""
"Adenosine Phosphonoacetic Acid  |  NA","NME1",""
"N-Acetyl-P-Nitrophenylserinol  |  NA","",""
"4-Hydroxy-L-Threonine-5-Monophosphate  |  NA","pdxA",""
"N-(2,3,4,5,6-Pentaflouro-Benzyl)-4-Sulfamoyl-Benzamide  |  NA","CA2",""
"Balanol Analog 1  |  NA","PRKACA",""
"Decylamine-N,N-Dimethyl-N-Oxide  |  NA","DHODH | fhuA | lytA | PNLIPRP2",""
"1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid  |  NA","bla | bla",""
"Compound 19  |  NA","ESR1 | PTPN1",""
"FR117016  |  NA","ADA",""
"1-(N-Imidazolyl)-2-Hydroxy-2-(2,3-Dichlorophenyl)Octane  |  NA","camC",""
"Sp7343-Sp7964  |  NA","PTPN1",""
"Latrunculin A  |  (+)-latrunculin A | (4R)-4-[(1R,4Z,8E,10Z,12S,15R,17R)-17-hydroxy-5,12-dimethyl-3-oxo-2,16-dioxabicyclo[13.3.1]nonadeca-4,8,10-trien-17-yl]-1,3-thiazolidin-2-one | LAT-A | LatA","ACTA1 |  | GSN",""
"2-(Oxalyl-Amino)-Benzoic Acid  |  NA","PTPN1",""
"Aminophosphonic Acid-Guanylate Ester  |  NA","CDC42",""
"Homoserine Lactone  |  NA","SLC9A1",""
"(2r)-2-{[Formyl(Hydroxy)Amino]Methyl}Hexanoic Acid  |  NA","",""
"Phenylferricrocin-Iron  |  NA","fhuA",""
"4,4'-Biphenyldiboronic Acid  |  NA","ampC",""
"1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide  |  NA","XIAP","apoptosis regulation"
"Inhibitor Bea403  |  NA","gag-pol",""
"L-Xylitol 5-Phosphate  |  NA","ulaD",""
"5-Chloro-6-[(2-Iminopyrrolidin-1-Yl)Methyl]Pyrimidine-2,4(1h,3h)-Dione  |  NA","TYMP",""
"4-nitrophenyl-beta-D-galactoside  |  1-O-(4-nitrophenyl)-β-D-galactopyranose | 1-O-(4-nitrophenyl)-β-D-galactose | 1-O-(p-nitrophenyl)-β-D-galactopyranose | 1-O-(p-nitrophenyl)-β-D-galactose | 1-O-[p-nitrophenyl]-beta-D-galactopyranose | 4-Nitrophenyl-beta-D-galactopyranoside | 4-nitrophenyl-β-D-galactopyranoside | 4-Nitrophenylgalactoside | p-Nitrophenyl beta-D-galactopyranoside | p-Nitrophenyl-beta-D-galactoside","lacA | lacZ",""
"Cibacron Blue  |  NA","GSTP1 | NQO1",""
"N-[O-Phosphono-Pyridoxyl]-Isoleucine  |  NA","BCAT2",""
"9-Hydroxy-8-Methoxy-6-Nitro-Phenanthrol[3,4-D][1,3]Dioxole-5-Carboxylic Acid  |  NA","PLA2G2E",""
"Oxaloacetate Ion  |  NA","SPR |  | mdh |  | CS",""
"Terlipressin  |  Terlipressin | Terlipressina | Terlipressine | Terlipressinum","AVPR1A | AVPR2 | AVPR1B",""
"Fumagillin  |  NA","METAP2",""
"Heptanamide  |  NA","limA",""
"[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate  |  NA","blaZ | bla | bla",""
"N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate  |  NA"," | MAOB | IGF1",""
"N-Omega-Propyl-L-Arginine  |  NA","NOS2 | NOS1",""
"3,4-Epoxybutyl-Alpha-D-Glucopyranoside  |  NA","spoII",""
"Nitrosoethane  |  NA","MB",""
"N-(5-Cyclopropyl-1h-Pyrazol-3-Yl)Benzamide  |  NA","CDK2","cell cycle"
"(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium  |  NA","CROT | CRAT",""
"3-Amino-3-Oxopropanoic Acid  |  NA","",""
"{[2-(1h-1,2,3-Benzotriazol-1-Yl)-2-(3,4-Difluorophenyl)Propane-1,3-Diyl]Bis[4,1-Phenylene(Difluoromethylene)]}Bis(Phosphonic Acid)  |  NA","PTPN1",""
"L-[(N-Hydroxyamino)Carbonyl]Phenylalanine  |  NA","CPA1",""
"Delta-Bis(2,2'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C2-Adamantane Ruthenium (Ii)  |  NA","camC",""
"D-Aspartic Acid  |  NA","nprS | ansB",""
"2-(4-Morpholinyl)-8-Phenyl-4h-1-Benzopyran-4-One  |  NA","PIM1 | PIK3CG",""
"Glucosamine 6-Phosphate  |  NA","glmS | nagA",""
"2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside  |  NA","bglA",""
"Cholic Acid  |  NA","MT-CO1 | ADH1C | FECH | cbh | FABP6 | ESRRG | CES1 | MT-CO2 | COX4I1 | MT-CO3 | COX5A | COX5B | COX6C | COX7B | COX7C | COX8A | COX6A2 | COX6B1 | COX7A1 | PLA2G1B | DKFZp686P18130",""
"Filaminast  |  NA","PDE4B",""
"Adenosine-5'-Diphosphate-2',3'-Vanadate  |  NA","PAPSS1",""
"Novo Nordisk a/S Compound  |  NA","PTPN1",""
"2-Amino-4-(Hydroxymethyl-Phosphinyl)Butanoic Acid  |  NA","glnA",""
"1-Butane Boronic Acid  |  NA","",""
"Trans-2-Phenylcyclopropylamine  |  NA","PRSS1",""
"(C8-R)-Hydantocidin 5'-Phosphate  |  [8,9-DIHYDROXY-3-(4-CARBOXY-HYDROXY-HYDROXYMETHYL-AMINO-BUTYL)-2,4-DIOXO-6-OXA-1,3-DIAZA-SPIRO[4.4]NON-7-YLMETHYL] PHOSPHATE","purA",""
"Factor IIIm  |  NA","",""
"Je-2147, Ag1776, Kni-764  |  NA","gag-pol",""
"RB106  |  NA","nprS | npr",""
"4-Deoxy-Alpha-D-Glucose  |  NA"," | SMARCA5",""
"1-Methylimidazole  |  NA","fixL | MB",""
"(4ar,6s,8ar)-11-[8-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Octyl]-6-Hydroxy-3-Methoxy-5,6,9,10-Tetrahydro-4ah-[1]Benzofuro[3a,3,2-Ef][2]Benzazepin-11-Ium  |  NA","ACHE",""
"4-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Butyricacid  |  NA","",""
"2-[3-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Propylamino]-2-Hydroxymethyl-Propane-1,3-Diol  |  NA","PDE4D",""
"D-Naphthyl-1-Acetamido Boronic Acid Alanine  |  NA","apr",""
"2-Deoxy-2-Aminogalactose  |  NA","LGALS7",""
"Cyanamide  |  NA","CA2",""
"Dinitrophenylene  |  NA","manA",""
"Meta Vanadate  |  NA","udp | CKS1B",""
"2-Deamino-6-Deoxy-6thiophosphite-5'-Phosphate Guanosine  |  NA","purA",""
"Inhibitor Bea428  |  NA","gag-pol",""
"5'-O-(N-(L-Cysteinyl)-Sulfamoyl)Adenosine  |  NA","EPRS",""
"3-Methylphenylalanine  |  NA","CTSB",""
"Undecyl-Beta-D-Maltopyranoside  |  NA","ntpK",""
"2,3-Didehydroalanine  |  NA","mrsA",""
"S-{2-[Amino(Dihydroxy)-Lambda~4~-Sulfanyl]Ethyl}-D-Cysteine  |  NA","ARG1",""
"NU1025  |  NA","PARP1","Genome integrity | Genome integrity | Genome integrity | Genome integrity | Genome integrity"
"N-Cholylglycine  |  NA","FABP6",""
"(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin  |  NA","NOS2 | NOS1 | NOS3 | PAH",""
"(4s,5s)-1,2-Dithiane-4,5-Diol  |  NA","ribH",""
"Pantoyl Adenylate  |  NA","panC",""
"O1-Pentyl-Mannose  |  NA","",""
"6-Aminohexyl-Uridine-C1,5'-Diphosphate  |  NA","B4GALT1",""
"Hydroxyaminovaline  |  NA","MMP13 | MMP3",""
"3-Deoxy-D-Glucosamine  |  NA","fhuA",""
"Nicotinamide  |  Niacinamide | Nicotinic amide","LDHA | BST1 | PARP1 | eta | SIRT5","Genome integrity | Genome integrity | Genome integrity | Genome integrity | Genome integrity"
"XV638  |  NA","gag-pol",""
"Fusidic Acid  |  Fucidate | Fucidin acid | Fusidate | Fusidic acid | Fusidine | Ramycin","cat3 | fusA | cat",""
"(2r,3r,4r,5r)-3,4-Dihydroxy-N,N'-Bis[(1s,2r)-2-Hydroxy-2,3-Dihydro-1h-Inden-1-Yl]-2,5-Bis(2-Phenylethyl)Hexanediamide  |  NA","gag-pol",""
"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine  |  NA","PLAU",""
"Mercaptocarboxylate Inhibitor  |  NA","",""
"Resveratrol  |  (E)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol | (E)-5-(p-Hydroxystyryl)resorcinol | (E)-5-[2-(4-hydroxyphenyl)ethenyl]-1,3-benzendiol | (E)-5-[2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol | (E)-resveratrol | 3,4',5-Stilbenetriol | 3,4',5-trihydroxy-stilbene | 3,4',5-Trihydroxystilbene | trans-3,4',5-trihydroxystilbene","PTGS1 | NQO2 | PTGS2 | CSNK2A1",""
"2,3,-Dihydroxybenzoylserine  |  NA","LCN2",""
"4-{2,6,8-Trioxo-9-[(2s,3r,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate  |  NA","ribH",""
"Sorbinil  |  NA","AKR1B1",""
"Acetylamino-Acetic Acid  |  NA","thiO",""
"3'-Uridinemonophosphate  |  NA","RNASE1",""
"Compound 18  |  NA","ESR1",""
"7-Methyl-Guanosine-5'-Triphosphate  |  NA","EIF4E",""
"Cellotetraose  |  NA","cbhA",""
"5-Formyl-6-Hydrofolic Acid  |  NA","glyA | folA",""
"C-(1-Hydrogyl-Beta-D-Glucopyranosyl) Formamide  |  NA","PYGM",""
"Alpha-D-Glucopyranosyl-2-Carboxylic Acid Amide  |  NA","PYGM",""
"4-Iodopyrazole  |  NA","ADH1A | ADH1B | ADH1C | cyp121",""
"4-O-Methyl-Beta-D-Glucuronic Acid  |  NA","aguA",""
"4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide  |  NA","F2",""
"Delta-2-Albomycin A1  |  NA","fhuA | fhuD",""
"2-Amino-4-(4-Amino-Cyclohexa-2,5-Dienyl)-Butyric Acid  |  NA","bioA",""
"2-Phosphoglycolic Acid  |  NA","PKLR | PKM | TPI | yniC | nagB | pfkA | tpiA | tpiA | mgsA | aroG | TPI1 | ENO3 | ENO2",""
"N-Butyl-N'-Hydroxyguanidine  |  NA","NOS1",""
"7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester  |  NA","MIF",""
"SD146  |  NA","gag-pol",""
"4-Methylthio-Alpha-D-Mannose  |  NA","AMY2B",""
"Ethylmercurithiosalicylic acid  |  [(o-carboxyphenyl)thio]ethylmercury | 2-(ethylmercuri-thio)-benzoic acid | 2-(ethylmercuriothio)benzoic acid","OXCT1 | ",""
"Purvalanol  |  NA","MAPK1 | MAPK3 | CDK2 | CRK2 | CDK4 | SRPK2","cell cycle"
"4-Deoxy-D-Mannuronic Acid  |  NA","algQ1 | algQ2",""
"2-Amino-3-Oxo-4-Sulfo-Butyric Acid  |  NA","STS",""
"Acetamide  |  NA","amiC",""
"Adenosine-5'-Pentaphosphate  |  NA","ndx1",""
"3-Indolebutyric Acid  |  NA","tyrB | HLA-A | B2M | TRAC | TRBC1",""
"CD564  |  NA","RARG",""
"Kifunensine  |  NA","MAN1B1 | MSDC | MAN2A1",""
"beta-D-galactopyranosyl-(1->4)-beta-D-galactopyranose  |  4-O-β-D-galactopyranosyl-β-D-galactopyranose | Galactobiose | β-D-galactopyranosyl-(1→4)-β-D-galactopyranose | β-D-Galp-(1→4)-β-D-Galp","ganB",""
"RPR131247  |  NA","PRSS1",""
"Uridine  |  NA","tsx | LSM6",""
"Phthalic Acid  |  NA","nadC",""
"Pyromellitic Acid  |  NA","fumC",""
"S-(Methylmercury)-L-Cysteine  |  NA","EFTUD1",""
"N-[Amino(Imino)Methyl]Glycine  |  NA","GAMT",""
"Tosyl-D-Proline  |  NA","thyA",""
"Selenoinosine  |  NA","ptd",""
"9-Butyl-8-(3,4,5-Trimethoxybenzyl)-9h-Purin-6-Amine  |  NA","HSP90AA1 | HSP90AB1",""
"1-3 Sugar Ring of Pentamannosyl 6-Phosphate  |  NA","M6PR",""
"Pyrazole  |  1,2-Diazole","ADH1C",""
"Indolylpropionic Acid  |  NA","aspC | tyrB | PLA2G2E",""
"4-Methylumbelliferyl Chitobiose  |  NA","LYZ",""
"S-Mercaptocysteine  |  NA","sufS | glpE | hcp | MST | c-des | sseA | hcp |  | TST",""
"RU79072  |  NA","SRC","ABL signaling | ABL signaling | ABL signaling"
"5-Mercapto-2-Nitro-Benzoic Acid  |  NA","IL12B | arsC",""
"9-Hydroxypropyladenine, R-Isomer  |  NA","TK",""
"(3r)-3-{[(Benzyloxy)Carbonyl]Amino}-2-Oxo-4-Phenylbutane-1-Diazonium  |  NA","speB",""
"3-Hydroxy-Myristic Acid  |  NA","fhuA | TLR4 | tonB | LY96",""
"Tert-Butyloxycarbonyl Group  |  NA","gag-pol",""
"7-Alpha-D-Ribofuranosyl-2-Aminopurine-5'-Phosphate  |  NA","cobT",""
"Sucrose  |  NA","ampC | nos | maf | algD | ACTA1 | blaCTX-M-9a | sacB | bgl3 | ams | blaCTX-M-14 | hmuO | ATOX1 |  | scrY | blaCTX-M-27 | LYZ | RTCB",""
"(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid  |  NA","PTGS1",""
"1,3-Propandiol  |  NA","linB | ARF1",""
"1-Hexadecanosulfonic Acid  |  NA","LIP1 | ",""
"2,5-Anhydroglucitol-1,6-Biphosphate  |  NA","FBP1",""
"Dodecane-Trimethylamine  |  NA","PTPN11",""
"Beta-3-Cysteine  |  NA","env",""
"4'-Deoxy-4'-Acetylyamino-Pyridoxal-5'-Phosphate  |  NA","GOT2 | gabT",""
"N-[4-(2-{2-[3-(2-Bromo-Acetylamino)-Propionylamino]-3-Hydroxy-Propionylamino}-Ethyl)-Phenyl]-Oxalamic Acid  |  NA","PTPN1",""
"N-[2(S)-Cyclopentyl-1(R)-Hydroxy-3(R)Methyl]-5-[(2(S)-Tertiary-Butylamino-Carbonyl)-4-(N1-(2)-(N-Methylpiperazinyl)-3-Chloro-Pyrazinyl-5-Carbonyl)-Piperazino]-4(S)-Hydroxy-2(R)-Phenylmethyl-Pentanamide  |  NA","gag-pol",""
"2-Anhydro-3-Fluoro-Quinic Acid  |  NA","aroQ",""
"N-Acetylmannosaminitol  |  NA","synC",""
"Pregnenolone  |  NA","SULT2B1",""
"Phenyl-Uridine-5'-Diphosphate  |  NA","galE",""
"Isochorismic Acid  |  NA","phzD1",""
"N-[5'-O-Phosphono-Ribofuranosyl]-2-[2-Hydroxy-2-[4-[Glutamic Acid]-N-Carbonylphenyl]-3-[2-Amino-4-Hydroxy-Quinazolin-6-Yl]-Propanylamino]-Acetamide  |  NA","purN",""
"P-Anisic Acid  |  NA","PLA2G2E | PLA2G1B",""
"9-Deazainosine  |  NA","PNP",""
"3-Nitrophenylboronic Acid  |  NA","ampC",""
"Alpha-Methylene Adenosine Monophosphate  |  NA","prs",""
"N-[2-(1-Maleimidyl)Ethyl]-7-Diethylaminocoumarin-3-Carboxamide  |  NA","pstS",""
"5-Hydroxymethylene-6-Hydrofolic Acid  |  NA","SHMT1 | ",""
"2,3 -Anhydro-Quinic Acid  |  NA","aroQ | aroQ",""
"5-Aminocarbonyl-3-Nitrophenyl-Alpha-D-Galactopyranose  |  NA","ctxB",""
"3-Phenyl-1,2-Propandiol  |  NA","REN",""
"A-98881  |  NA","gag-pol",""
"1-(3-O-Phosphono-Beta-L-Arabinofuranosyl)Pyrimidine-2,4(1h,3h)-Dione  |  NA","RNASE1",""
"Brodimoprim-4,6-Dicarboxylate  |  NA","folA",""
"N-(2-Acetamido)Iminodiacetic Acid  |  NA","def",""
"Diethylphosphono Group  |  NA","fbpC | BCHE",""
"(2s,4r)-1-Acetyl-N-[(1s)-4-[(Aminoiminomethyl)Amino]-1-(2-Benzothiazolylcarbonyl)Butyl]-4-Hydroxy-2-Pyrrolidinecarboxamide  |  NA","PRSS1",""
"2-Acetamido-2-Deoxy-D-Glucono-1,5-Lactone  |  NA","HEXB | chiB",""
"7-(1-Methyl-1,2,3-Triazol-4-Yl)-6-Formyl-2,7-Dihydro-[1,4]Thiazepine-3-Carboxylic Acid, Brl42715, C6-(N1-Methyl-1,2,3-Triazolylmethylene)Penem  |  NA","ampC",""
"5-Exo-Hydroxycamphor  |  NA","camC",""
"Iodo-Willardiine  |  NA","GRIA2",""
"Mono-[3,4-Dihydroxy-5-(5-Methyl-Benzoimidazol-1-Yl)-Tetrahydor-Furan-2-Ylmethyl] Ester  |  NA","cobT",""
"1-Azepan-1-Yl-2-Phenyl-2-(4-Thioxo-1,4-Dihydro-Pyrazolo[3,4-D]Pyrimidin-5-Yl)Ethanone Adduct  |  NA","HSD17B10",""
"Canaline  |  NA","OAT",""
"Para-Bromobenzyl Alcohol  |  NA","ADH1C",""
"Phosphonoacetic Acid  |  NA","phoA",""
"N-Pyridoxyl-Glycine-5-Monophosphate  |  NA","SHMT1 | ODC1 | glyA | ",""
"Methylphosphonic Acid Ester Group  |  NA","ACHE",""
"7-(1,1-Dioxo-1h-Benzo[D]Isothiazol-3-Yloxymethyl)-2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid  |  NA","PTPN1",""
"5-Fluorolevulinic Acid  |  NA","hemB",""
"4-(Acetylamino)-3-[(Aminoacetyl)Amino]Benzoic Acid  |  NA","NA",""
"FR236913  |  NA","ADA",""
"Dihydrogenphosphate Ion  |  NA","DCXR | pstS",""
"Siroheme  |  NA","cysI",""
"[4-(2-Amino-4-Methyl-Thiazol-5-Yl)-Pyrimidin-2-Yl]-(3-Nitro-Phenyl)-Amine  |  NA","CDK2 | CCNA2","cell cycle"
"IDD552  |  NA","AKR1B1",""
"Alpha-D-Glucose 1,6-Bisphosphate  |  NA","pgmB | PGM1",""
"Guanosine 5'-Diphosphate 2':3'-Cyclic Monophosphate  |  NA","purA | relA",""
"O4-Sulfonylgalactose  |  NA","MBL2",""
"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate  |  NA","DAO",""
"2,4-Dihydroxybenzoic Acid  |  NA","pobA | pobA",""
"4-(1,3-Benzodioxol-5-Yl)-5-(5-Ethyl-2,4-Dihydroxyphenyl)-2h-Pyrazole-3-Carboxylic Acid  |  NA","HSP90AA1",""
"[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid  |  NA","bla | blaCTX-M-9a | bla",""
"Alpha-D-Glucose-1-Phosphate  |  NA","PYGM | algC | malP | agp | rmlA",""
"S-Adenosyl-1,8-Diamino-3-Thiooctane  |  NA","speE",""
"Methylphosphinic Acid  |  NA","ACHE | estA | BCHE",""
"L-thioproline  |  (4R)-4-Thiazolidinecarboxylic acid | (R)-(-)-4-Thiazolidinecarboxylic acid | (R)-4-Thiazolidinecarboxylic acid | 4-thiaproline | L-thiaproline | L-Thiazolidine-4-carboxylic acid | Thiazolidinecarboxylic acid | γ-thioproline","ANXA5",""
"{4-[3-(6,7-Diethoxy-Quinazolin-4-Ylamino)-Phenyl]-Thiazol-2-Yl}-Methanol  |  NA","FBP1",""
"N-Pyridoxyl-1-Amino-Cyclopropanecarboxylic Acid-5-Monophosphate  |  NA","dgdA",""
"(1-Tert-Butyl-5-Hydroxy-1h-Pyrazol-4-Yl)-(6-Methanesulfonyl-4'-Methoxy-2-Methyl-Biphenyl-3-Yl)-Methanone  |  NA","HPD",""
"Thiocamphor  |  NA","camC",""
"Domoic Acid  |  (-)-domoic acid | L-domoic acid","GRIK2",""
"Aetiocholanolone  |  NA","SULT2A1 | fabG3 | HSD17B11 | IGHG2",""
"N-(3-Propylcarbamoyloxirane-2-Carbonyl)-Isoleucyl-Proline  |  N-(3-Propylcarbamoyloxirane-2-carbonyl)-isoleucyl-proline","CTSB",""
"Methyl-Carbamic Acid Ethyl Ester  |  NA","stxB",""
"Guanosine  |  2-amino-1,9-dihydro-9-β-D-ribofuranosyl-6H-purin-6-one | 2(3H)-imino-9-β-D-ribofuranosyl-9H-purin-6(1H)-one | 9-β-D-ribofuranosyl-guanine | G | Guanine riboside | Guanine-9-β-D-ribofuranoside | Guanosin | Guo","PNP | 43 | ",""
"3-(4-Benzenesulfonyl-Thiophene-2-Sulfonylamino)-Phenylboronic Acid  |  NA","ampC",""
"Soraphen A  |  NA","ACACB",""
"Calyculin A  |  (-)-calyculin A","PPP1CC",""
"4-(Aminosulfonyl)-N-[(3,4,5-Trifluorophenyl)Methyl]-Benzamide  |  NA","CA2",""
"Alpha Chlorophyll A  |  NA","blm",""
"Glucosamine 4-Phosphate  |  NA","fhuA",""
"Dansylamide  |  NA","CA2",""
"D-Mannose 1-Phosphate  |  NA","algC",""
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine  |  NA","CALM1",""
"3-amino-5-phenylpentane  |  NA","CTSV | CTSK",""
"N-Allyl-Aniline  |  NA","E",""
"3-Butylthiolane 1-Oxide  |  NA","ADH1C",""
"Cis-[4,5-Bis-(4-Bromophenyl)-2-(2-Ethoxy-4-Methoxyphenyl)-4,5-Dihydroimidazol-1-Yl]-[4-(2-Hydroxyethyl)Piperazin-1-Yl]Methanone  |  NA","MDM2","p53 pathway | p53 pathway"
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperazin-1-Yl-3,4-Dihydroquinazolin-2(1h)-One  |  NA","MAPK14",""
"CRA_1802  |  NA","PRSS1",""
"3-(4-Carbamoyl-1-Carboxy-2-Methylsulfonyl-Buta-1,3-Dienylamino)-Indolizine-2-Carboxylic Acid  |  NA","ampC",""
"TTNPB  |  (E)-4-[2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthylenyl)-1 -propenyl] benzoic acid | Arotinoic acid | Arotinoid acid | CCRIS 3297 | Tocris-0761","RARB",""
"3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid  |  NA","ALAD",""
"2,3-Di-O-Sulfo-Alpha-D-Glucopyranose  |  NA","",""
"2',3'-Dideoxycytidine-5'-Monophosphate  |  NA","cmk",""
"Beta-Cyclohexyl-Alanine  |  NA","ZFY",""
"4-Imino-5-Methidyl-2-Trifluoromethylpyrimidine  |  NA","thiE",""
"2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Triphosphate  |  NA","NME1",""
"FKB-001  |  NA","FKBP1A",""
"4-O-(4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Beta-D-Lyxo-Hexopyranosyl)-Alpha-D-Erythro-Hexopyranose  |  NA","AMY2A",""
"6-Hydroxyuridine-5'-Phosphate  |  NA","pyrF | UMPS",""
"L-2-Amino-6-Methylene-Pimelic Acid  |  NA","ddh",""
"D-Methionine  |  NA","METAP2 | ",""
"Sulfamic Acid 2,3-O-(1-Methylethylidene)-4,5-O-Sulfonyl-Beta-Fructopyranose Ester  |  NA","CA2",""
"3-(Prop-2-Ene-1-Sulfinyl)-Propene-1-Thiol  |  NA","GSR",""
