"","x"
"1769","Folinic Acid, interferon-alpha"
"1770","Induction trichemotherapy - FOLFIRINOX regimen"
"1771","Tegafur and Uracil"
"1772","IXO regimen"
"1773","Cyclophosphamide & ZYC300"
"1774","Ridaforolimus"
"1775","FOLFORINOX"
"1776","Adjuvant Chemotherapy"
"1777","fluorouracil, oxaliplatin"
"1778","Nilotinib"
"1779","Perifosine + Capecitabine"
"1780","folfox"
"1781","Sevoflurane"
"1782","Hydralazine"
"1783","Chemoradiotherapy"
"1784","MLN8054"
"1785","neoadjuvant FOLFOXIRI"
"1786","ART-123"
"1787","Ad5-hGCC-PADRE vaccine"
"1788","S-1"
"1789","Procrit"
"1790","Rituximab"
"1791","mFolfirinox"
"1792","mFolfox6 or capecitabine"
"1793","recombinant interleukin-12"
"1794","ABI-007/carboplatin/trastuzumab"
"1795","Perioperative chemotherapy with mFOLFOX6 or CAPOX regimens"
"1796","Postoperative chemotherapy with mFOLFOX6 or CAPOX regimens"
"1797","E7820"
"1798","Capecitabine, Cetuximab, Oxaliplatin"
"1799","5FU/Leucovorin"
"1800","Placebo drug"
"1801","Udenafil"
"1802","quadrivalent human papillomavirus recombinant vaccine"
"1803","Gadofosveset trisodium"
"1804","TNFerade™"
"1805","topotecan"
"1806","VSL#3"
"1807","Inulin"
"1808","HER-2 vaccine"
"1809","Peri operative Cetuximab."
"1810","Black raspberry Slurry"
"1811","Black Raspberry Suppositories"
"1812","Black Raspberry Placebo Slurry"
"1813","cidofovir"
"1814","propofol group"
"1815","sevoflurane group"
"1816","Arm A : standard neoadjuvant chemoradiotherapy group"
"1817","Arm B : adjuvant FOLFOX group"
"1818","Isotretinoin"
"1819","Interferon alfa-2a"
"1820","Mangafodipir"
"1821","Placebo treatment"
"1822","nitroglycerin"
"1823","Two-week course of radiation"
"1824","Cook Medical EMR Gel"
"1825","XELAC RT"
"1826","XELOX RT"
"1827","ADXS11-001"
"1828","Eicosapentanoic Acid"
"1829","botox injection Multiguide"
"1830","AK001 low dose"
"1831","AK001 high dose"
"1832","Budesonide"
"1833","Normal saline sinus rinse"
"1834","Prednisone"
"1835","nasal saline spray"
"1836","fluticasone propionate"
"1837","Omalizumab"
"1838","pulmicort"
"1839","Administration of oral methylprednisolone"
"1840","Capecitabine, Oxaliplatin and Cetuximab"
"1841","5-FU with leucovorin"
"1842","TS-1 with Irinotecan"
"1843","Lymphoseek"
"1844","panitumumab, mytomicin C, 5-FU, radiation"
"1845","SGX201"
"1846","Dalotuzumab"
"1847","Oxaliplatin, capecitabine"
"1848","hormone replacement therapy"
"1849","estrogens"
"1850","progestins"
"1851","estrogen replacement therapy"
"1852","vitamin D"
"1853","Cipro, metronidazole, neomycin combo"
"1854","Saline"
"1855","Tamsulosin"
"1856","intra-rectal Botulinum toxin A injection"
"1857","Therapeutic target tailored chemotherapy"
"1858","rigosertib"
"1859","FOLFOX4"
"1860","5-FU, Capecitabine, Oxaliplatin, Leucovorin."
"1861","Eniluracil"
"1862","5FU"
"1863","Faecal Tagging"
"1864","Bowel cleansing"
"1865","radiochemotherapy"
"1866","AIJP"
"1867","Oxaliplatin, capecitabine, radiotherapy"
"1868","Docetaxel, Cisplatin and 5-Fluorouracil"
"1869","Dipeptide Alanyl-Glutamine"
"1870","Oxaliplatin and 5-FU based preoperative chemoradiation"
"1871","Bavituximab"
"1872","9vHPV Vaccine"
"1873","Natural Killer Cells"
"1874","ALT803"
"1875","PANITUMUMAB"
"1876","MITOMYCIN"
"1877","CAPECITABINE"
"1878","Gardasil"
"1879","Magnesia"
"1880","Dexmedetomidine"
"1881","Chemotherapy, radiation therapy & surgery"
"1882","FOLFOX {5-fluorouracil, leucovorin, and oxaliplatin}"
"1883","AbGn-107"
"1884","CDX-1127"
"1885","Anti-Macrophage Migration Inhibitory Factor Antibody"
"1886","Drug: 5-FU"
"1887","Drug: Oxaliplatin"
"1888","CEP-37250/KHK2804"
"1889","perioperative chemotherapy"
"1890","NK cells +CliniMACs CD3 and CD56 systems"
"1891","ibrutinib"
"1892","Cefmetazole"
"1893","PM01183"
"1894","ceritinib"
"1895","SDX-7320"
"1896","Minnelide™ 001"
"1897","LY2801653"
"1898","Etoposide"
"1899","Cancer Macrobead placement in abdominal cavity"
"1900","CGX1321"
"1901","PV701"
"1902","Traditional Chinese Medicine Formula LC09"
"1903","sulforaphane glucosinolate capsules"
"1904","Tagitol V, Lo So, Readi-Cat 2"
"1905","Capecitabine, doxcetaxol"
"1906","[11C]Acetate"
"1907","Electrochemotherapy"
"1908","Talimogene Laherparepvec"
"1909","Nadroparin calcium"
"1910","saline solution"
"1911","Hsp90 Inhibitor AUY 922"
"1912","Intravenous patient controlled analgesia"
"1913","Belotaxel"
"1914","Belloxa"
"1915","indocyanine green infusion"
"1916","placebo and Calcitriol"
"1917","Calcium and Calcitriol"
"1918","Hyperthermic intraoperative Peritoneal Chemoperfusion"
"1919","trimethoprim-sulfamethoxazole + metronidazole"
"1920","cefuroxime and metronidazole"
"1921","gum"
"1922","Floxuridine FUDR"
"1923","Mosapride"
"1924","Patient controlled analgesia"
"1925","Thoracic Epidural Analgesia"
"1926","Sitagliptin"
"1927","parecoxib sodium"
"1928","flurbiprofen"
"1929","saline"
"1930","Bupivacaine liposome suspension"
"1931","Ca plus vit D"
"1932","aspirin, 1,25-dihydroxycholecalciferol, calcium"
"1933","Phase I"
"1934","Polyethylene glycol 4000"
"1935","Macrogol 3350 plus ascorbic acid"
"1936","S-8184 Paclitaxel Injectable Emulsion"
"1937","LV5FU2 simplified, FOLFOX 4 simplified, FOLFIRI modified"
"1938","LV5FU2 simplified,FOLFOX 4 simplified, FOLFIRI modified, Bevacizumab 5 mg/kg/ 2 weeks"
"1939","Asimadoline"
"1940","ING-1"
"1941","LB1148"
"1942","SB012"
"1943","Eziclen®/Izinova®"
"1944","Quadrivalent Human Papillomavirus Recombinant Vaccine"
