"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
2700,"NCT02043184","Improving Adherence to Oral Cancer Agents and Self Care of Symptoms Using an IVR","Completed","No Results Available","Prostatic Neoplasms|Breast Neoplasms|Colorectal Neoplasms|Melanoma|Leukemia","Behavioral: Interactive Voice Response (IVR) Reminders","Michigan State University|National Cancer Institute (NCI)","Both","21 Years and older   (Adult, Senior)","","246","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Supportive Care","1R01CA162401-01A1|1R01CA162401","January 20, 2014","March 2013","July 2016","September 19, 2016","September 2016","No Study Results Posted","null","July 2016","Medication Adherence using pill count and self report|Medication Self-Efficacy using Horne Measure|Symptom Burden is determining the overall number of symptoms on the given symptom tool|Symptom Interference is the interference with daily activities|Depression using the full Clinical Screening for depression measure|Physical Function using the Physical Function Scale|Healthcare Utilization is the use of Emergency room and Hospital admissions","https://ClinicalTrials.gov/show/NCT02043184"
2701,"NCT01915225","Obtaining Solid Tumor Tissue From People Having Biopsy or Surgery for Certain Types of Cancer","Recruiting","No Results Available","Colorectal Neoplasms|Gastric Neoplasms|Cholangiocarcinoma|Bile Duct Cancer|Pancreas Cancer","","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","Both","18 Years to 90 Years   (Adult, Senior)","","1000","NIH","Observational","Time Perspective: Prospective","130176|13-C-0176","July 31, 2013","July 2013","June 2024","August 31, 2016","April 2016","No Study Results Posted","null","June 2023","To collect biologic samples from patients undergoing diagnostic or therapeutic interventions for premalignant, primary or metastatic solid tumors for the purpose ofidentifying novel molecular and biologictherapeutic targets|To collect detailed history, demographic, treatment data, and perioperative findings in order to categorize and track the specific procedures and outcomes","https://ClinicalTrials.gov/show/NCT01915225"
2702,"NCT02486094","Study of PRoliferation and Apoptosis in Rectal Cancer, Predictive & Prognostic biOmarkers: Histopathology and Imaging","Recruiting","No Results Available","Neoplasms|Colorectal Neoplasms|Rectal Diseases|Gastrointestinal Neoplasms","","Royal Marsden NHS Foundation Trust|The Royal College of Surgeons of England|Croydon Health Services NHS Trust, Surrey","Both","18 Years and older   (Adult, Senior)","","45","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CCR 4324","June 22, 2015","June 2015","June 2016","June 26, 2015","June 2015","No Study Results Posted","SOPRANO","September 2015","Apoptotic index, Ki67 and Geminin in cells per mm cubed from diognostic biopsy|Apoptotic index, Ki67 and Geminin in cells per mm cubed from resected tumour|Time to local recurrence|Disease Free Survival (DFS)|Overall Survival (OS)","https://ClinicalTrials.gov/show/NCT02486094"
2703,"NCT00123760","Study of 18F-Fluorodeoxyglucose (FluGlucoScan) in Patients With Cancer or Suspected Cancer","Completed","No Results Available","Brain Neoplasms|Lung Neoplasms|Thyroid Neoplasms|Colorectal Neoplasms|Lymphoma","Procedure: Positron Emission Tomography (PET) scan","AHS Cancer Control Alberta|Cross Cancer Institute","Both","15 Years and older   (Child, Adult, Senior)","Phase 2|Phase 3","10838","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","SP-11-0035/DX-FDG-001/21221","July 22, 2005","February 2004","December 2008","February 24, 2016","March 2012","No Study Results Posted","null","December 2008","To demonstrate the safety of 18F-FDG synthesized from cyclotron produced radiofluoride in the Coincidence Technologies automated synthesis unit (ASU) in the Edmonton PET Centre facility|To confirm the diagnostic effectiveness of 18F-FDG in subjects with known or suspected oncologic disease and compare this to literature values","https://ClinicalTrials.gov/show/NCT00123760"
2704,"NCT02355262","CATCH-UP Intervention in Increasing Cancer Screening and Prevention Care in Uninsured Patients at Community Health Centers","Recruiting","No Results Available","Breast Carcinoma|Cervical Carcinoma|Colorectal Carcinoma|Health Status Unknown|Human Papillomavirus Infection|Malignant Neoplasm","Other: Informational Intervention","OHSU Knight Cancer Institute|Kaiser Foundation Hospitals, Center for Health Research|National Cancer Institute (NCI)|Oregon Community Health Information Network (OCHIN)","Both","18 Years to 64 Years   (Adult)","","200","Other|NIH","Observational","Observational Model: Case Control|Time Perspective: Prospective","9862|NCI-2014-02326|CR00024554|5219|MR00042926|MR00044877|IRB00009862|P30CA069533|R01CA181452","January 23, 2015","July 2014","June 2019","April 20, 2016","April 2016","No Study Results Posted","CATCH-UP","June 2019","Changes in the proportion of clinic patients who receive age- and gender-appropriate recommended cancer screening and preventive care (clinic-level)|Changes in the proportion of clinic patients with insurance continuity|Total number of months uninsured (total gap months)","https://ClinicalTrials.gov/show/NCT02355262"
2705,"NCT02231086","Adjuvant HIPEC in High Risk Colon Cancer","Recruiting","No Results Available","Colorectal Neoplasms|Peritoneal Neoplasms","Procedure: Adjuvant HIPEC (open/laparoscopic)|Drug: Standard adjuvant systemic chemotherapy|Procedure: Diagnostic laparoscopy","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|ZonMw: The Netherlands Organisation for Health Research and Development|Dutch Health Care Insurance Board","Both","18 Years to 75 Years   (Adult, Senior)","Phase 3","176","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","NL49960.018.14|2014-002794-11","August 22, 2014","March 2015","April 2022","September 15, 2016","September 2016","No Study Results Posted","COLOPEC","April 2019","Peritoneal recurrence free survival|Treatment related toxicity of adjuvant HIPEC, including 30-day complication rate, re-intervention rate, and re-admission rate|Hospital stay for simultaneous and staged HIPEC, either open or laparoscopic|False-negative rate of CT-scan for peritoneal metastases|Patterns of dissemination (peritoneal plus or minus distant metastases)|Disease-free survival|Overall survival|Quality of life","https://ClinicalTrials.gov/show/NCT02231086"
2706,"NCT00039793","Massage Therapy for Cancer-Related Fatigue","Completed","No Results Available","Breast Neoplasms|Ovarian Neoplasms|Prostatic Neoplasms|Colorectal Neoplasms","Procedure: Moderate-intensity and low-intensity bodywork therapy","National Center for Complementary and Integrative Health (NCCIH)","Both","18 Years and older   (Adult, Senior)","Phase 2","45","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","R21AT000348-01","June 11, 2002","March 2001","March 2004","August 17, 2006","July 2006","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00039793"
2707,"NCT02324556","A LAparoscopic and TransAnal Total Mesorectal Excision (TME) for Rectal Cancer Trial","Recruiting","No Results Available","Colorectal Neoplasm","","Sahlgrenska University Hospital, Sweden","Both","Child, Adult, Senior","","40","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","LATA","November 27, 2014","January 2015","December 2017","April 14, 2016","April 2016","No Study Results Posted","LATA","December 2016","Number of specimens with grade I specimen according to Quirke|Conversion rate|Re-admission|Postoperative complications scored according to Clavien-Dindo within the first 12 months","https://ClinicalTrials.gov/show/NCT02324556"
2708,"NCT01919853","Treatment for Persistently Fatigued Cancer Survivors: A Randomized Controlled Trial With Biomarker Response","Completed","No Results Available","Fatigue","Behavioral: Mindfulness-Based Stress Reduction|Behavioral: Attention Control","Indiana University|Walther Cancer Institute|Indiana Clinical and Translational Sciences Institute","Both","18 Years and older   (Adult, Senior)","Phase 2","107","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","01206008951|0106.01","July 30, 2013","September 2012","November 2013","December 31, 2014","December 2014","No Study Results Posted","null","November 2013","Change in cancer-related fatigue functional interference|Change in cancer-related fatigue severity|Change in vitality|Change in depression|Change in anxiety|Change in sleep disturbance|Change in pain|Change in fear of recurrence|Change in attentional function","https://ClinicalTrials.gov/show/NCT01919853"
2709,"NCT02365662","A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor","Recruiting","No Results Available","Head and Neck Squamous Cell Carcinoma|Non-small Cell Lung Cancer|Triple Negative Breast Cancer|Colorectal Carcinoma|Glioblastoma Multiforme","Drug: ABBV-221","AbbVie","Both","18 Years to 99 Years   (Adult, Senior)","Phase 1","80","Industry","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","M14-429|2014-003557-34","February 5, 2015","January 2015","February 2018","August 5, 2016","August 2016","No Study Results Posted","null","February 2018","Number of participants with adverse events|Maximum tolerated dose of ABBV-221|Recommended Phase 2 dose of ABBV-221|Maximum Plasma Concentration (Cmax) of ABBV-221|Area Under the Plasma Concentration-time Curve of ABBV-221|Area Under the Plasma Concentration-time Curve from 0 to the Time of the Last Measurable Concentration (AUCt) of ABBV-221|Assess the effect of systemic ABBV-221 administration on QT prolongation|Objective Response Rate (ORR)","https://ClinicalTrials.gov/show/NCT02365662"
2710,"NCT02650661","Efficacy of a Smart Management Strategy for Health (SMASH) Program for Overcoming Cancer Crisis and Growing Positively","Recruiting","No Results Available","Breast Neoplasms|Lung Neoplasms|Colorectal Neoplasms|Stomach Neoplasms","Behavioral: Online health management program|Behavioral: Health coaching|Behavioral: Workshop|Behavioral: Standard health educational booklet","Seoul National University Hospital|Samsung Medical Center|Asan Medical Center|Ewha Womans University Mokdong Hospital|National Cancer Center, Korea","Both","19 Years and older   (Adult, Senior)","","485","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Supportive Care","YHYun","October 1, 2015","December 2015","December 2017","January 7, 2016","January 2016","No Study Results Posted","null","February 2017","Change in percentage of patients meeting the exercise goal|Change in percentage of patients meeting the body mass index (BMI) goal|Change in percentage of patients meeting the posttraumatic growth inventory (PTGI) goal|Change in percentage of patients meeting diet goal|Change in execution level of health habits|Change in level of Hospital Anxiety Depression Scale (HADS)|Change in level of Brief Fatigue Inventory (BFI)|Change in level of Smart Management Strategy for Health Assessment Tool (SAT)|Change in level of MOS-Social Support Survey (MOS-SSS)|Change in level of McGill Quality of Life (McGill QoL)|Change in level of General health status (SF-36)|Cost effectiveness analysis","https://ClinicalTrials.gov/show/NCT02650661"
2711,"NCT02014116","A Study of LY3009120 in Participants With Advanced Cancer or Cancer That Has Spread to Other Parts of Their Body","Active, not recruiting","No Results Available","Neoplasms|Neoplasm Metastasis|Melanoma|Carcinoma, Non-Small-Cell Lung|Colorectal Neoplasms","Drug: LY3009120 capsule","Eli Lilly and Company","Both","18 Years and older   (Adult, Senior)","Phase 1","50","Industry","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","13873|I6X-MC-JBDA","December 12, 2013","November 2013","December 2016","July 25, 2016","July 2016","No Study Results Posted","null","December 2016","Maximum Tolerated Dose (MTD) of LY3009120|Number of Participants with Tumor Response|Pharmacokinetics (PK): Maximum Concentration (Cmax) of LY3009120|Pharmacokinetics (PK): Area Under the Concentration Curve (AUC) of LY3009120","https://ClinicalTrials.gov/show/NCT02014116"
2712,"NCT02124148","A Study of Prexasertib (LY2606368) With Chemotherapy or Targeted Agents in Participants With Advanced Cancer","Recruiting","No Results Available","Neoplasm Metastasis|Colorectal Neoplasms","Drug: Prexasertib|Drug: Cisplatin|Drug: Cetuximab|Drug: G-CSF|Drug: Pemetrexed|Drug: Fluorouracil|Drug: LY3023414|Drug: Leucovorin","Eli Lilly and Company","Both","18 Years and older   (Adult, Senior)","Phase 1","185","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","15295|I4D-MC-JTJF","April 24, 2014","June 2014","April 2018","May 9, 2016","May 2016","No Study Results Posted","null","April 2018","Part A: Maximum Tolerated Dose and Schedule of Prexasertib in Combination with Cisplatin|Part B: Maximum Tolerated Dose of Prexasertib in Combination with Cetuximab|Part C: Maximum Tolerated Dose of Prexasertib in Combination with Pemetrexed|Part D: Maximum Tolerated Dose of Prexasertib in Combination with Fluorouracil (5-FU)|Part E: Maximum Tolerated Dose of Prexasertib in Combination with LY3023414|Pharmacokinetics: Maximum Concentration of Prexasertib|Pharmacokinetics: Area Under the Concentration Curve of Prexasertib|Part B Dose Expansion: Overall Response Rate|Part B Dose Expansion: Disease Control Rate|Part B Dose Expansion: Progression-Free Survival|Part B Dose Expansion: Duration of Response","https://ClinicalTrials.gov/show/NCT02124148"
2713,"NCT00257322","Cellular Immune Augmentation in Colon and Rectal Cancer","Completed","Has Results","Colon Cancer|Rectal Cancer","Drug: GM-CSF","University of California, Irvine","Both","18 Years and older   (Adult, Senior)","Phase 2","20","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UCI 02-60|2003-2876","November 18, 2005","April 2003","July 2009","March 23, 2016","March 2016","June 26, 2009","null","July 2009","Participants Exhibiting Immune Response|Response Rates and Overall Survival.","https://ClinicalTrials.gov/show/NCT00257322"
2714,"NCT02215733","The Use of Angiotensin Receptor Blockers and the Risk of Cancer","Completed","No Results Available","Neoplasm","Drug: ARB|Drug: ACEI|Drug: Beta-blockers|Drug: Diuretics|Drug: Telmisartan","Boehringer Ingelheim","Both","Child, Adult, Senior","","1165781","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","502.599","August 12, 2014","February 2011","null","August 12, 2014","August 2014","No Study Results Posted","null","February 2012","Number of patients with occurrences of lung, colorectal, breast and prostate cancers related to use of ARBs|Determination of dose-response in terms of ARB duration of use and cumulative dose and the risk of lung, colorectal, breast and prostate cancers combined|Ratio of occurrence of lung, colorectal, breast and prostate cancers related to use of ARBs, relative to beta-blockers and diuretics|Ratio of occurrence of lung, colorectal, breast and prostate cancers related to use of telmisartan, relative to beta-blockers and diuretics|Ratio of occurrence of lung, colorectal, breast and prostate cancers related to use of telmisartan relative to other ARBs|Number of patients with occurrences of lung cancer related to use of ARBs alone|Number of patients with occurrences of colorectal cancer related to use of ARBs alone|Number of patients with occurrences of breast cancer related to use of ARBs alone|Number of patients with occurrences of prostate cancer related to use of ARBs alone|Number of patients with occurrences of lung cancer related to use of ARBs with ACEI|Number of patients with occurrences of colorectal cancer related to use of ARBs with ACEI|Number of patients with occurrences of breast cancer related to use of ARBs with ACEI|Number of patients with occurrences of prostate cancer related to use of ARBs with ACEI|Ratio of occurrence of lung cancer related to use of telmisartan relative to other ARBs|Ratio of occurrence of colorectal cancer related to use of telmisartan relative to other ARBs|Ratio of occurrence of breast cancer related to use of telmisartan relative to other ARBs|Ratio of occurrence of prostate cancer related to use of telmisartan relative to other ARBs","https://ClinicalTrials.gov/show/NCT02215733"
2715,"NCT02228200","Nurse-led Care Program for Cancer Patients in Chemotherapy Day Center","Completed","No Results Available","Breast Neoplasms|Colorectal Neoplasms","Behavioral: Nurse-led care|Behavioral: Routine care","The Hong Kong Polytechnic University","Both","18 Years and older   (Adult, Senior)","","150","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care","POLYU-HSEARS20120117002","August 19, 2014","June 2012","January 2014","August 26, 2014","August 2014","No Study Results Posted","null","November 2013","Change in quality of life|Health care utilization","https://ClinicalTrials.gov/show/NCT02228200"
2716,"NCT00288444","Interaction of Docetaxel and Lonafarnib in Patients With Advanced Cancer","Terminated","No Results Available","Lung Cancer|Soft Tissue Sarcoma|Colorectal Carcinoma|Breast Cancer|Prostate Cancer","Drug: Lonafarnib|Drug: Docetaxel","Emory University|Aventis Pharmaceuticals|Schering-Plough","Both","Child, Adult, Senior","Phase 1","38","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","174-2004|EU841-03","February 6, 2006","January 2006","March 2009","December 17, 2012","December 2012","No Study Results Posted","null","May 2008","Determine the molecular interaction|Determine safety and efficacy","https://ClinicalTrials.gov/show/NCT00288444"
2717,"NCT01037049","Optimum Timing for Surgery After Pre-operative Radiotherapy 6 vs 12 Weeks","Active, not recruiting","No Results Available","Adenocarcinoma of the Rectum|Adenocarcinoma|Adenocarcinoma, Mucinous|Carcinoma|Neoplasms, Glandular and Epithelial|Neoplasms by Histologic Type|Neoplasms|Neoplasms, Cystic, Mucinous, and Serous|Colorectal Neoplasms|Intestinal Neoplasms|Gastrointestinal Neoplasms|Digestive System Neoplasms|Neoplasms by Site|Digestive System Diseases|Gastrointestinal Diseases|Intestinal Diseases|Rectal Diseases","Other: Patients who have surgery at 12 weeks after radiotherapy/chemoradiotherapy","Royal Marsden NHS Foundation Trust","Both","18 Years and older   (Adult, Senior)","Phase 2","237","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label","CCR3227","December 18, 2009","October 2009","July 2019","June 22, 2015","November 2013","No Study Results Posted","null","June 2015","The primary endpoint will be the difference in the proportion of patients in each arm, downstaged according to T stage [on MRI].|Tumour response using SUV measurements [PET/CT], N downstaging and Tumour Regression Grade downstaging [on MRI].|Difference in proportion of patients in each arm undergoing sphincter saving surgery.|Morbidity, 30 day mortality and CRM (circumferential resection margin) positivity.|An analysis will also be undertaken using multivariate and linear regression analysis to evaluate the association of ypT and ypN stage as a potential independent predictors of SUV (max) baseline and after radiotherapy (pre-surgery) in the two arms.|Local and distant recurrence rates.|Radiotherapy related toxicity rates.","https://ClinicalTrials.gov/show/NCT01037049"
2718,"NCT00844064","Safety and Tolerability of AP 12009, Administered I.V. in Patients With Advanced Tumors Known to Overproduce TGF-beta-2","Completed","No Results Available","Pancreatic Neoplasms|Melanoma|Colorectal Neoplasms","Drug: AP 12009","Isarna Therapeutics GmbH","Both","18 Years to 75 Years   (Adult, Senior)","Phase 1","62","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","AP 12009-P001","February 12, 2009","January 2005","November 2011","November 18, 2011","November 2011","No Study Results Posted","null","November 2011","To determine the maximum tolerated dose (MTD) as well as the dose-limiting toxicity (DLT) of two cycles of AP 12009 administered intravenously at weekly intervals and for four days every other week.|To determine the safety and tolerability of AP 12009 administered intravenously at weekly intervals and for four days every other week.|To assess the plasma pharmacokinetic profile of AP 12009 administered intravenously at weekly intervals and for four days every other week.|To establish a suitable determination method and to assess the urine pharmacokinetic profile of AP 12009 administered intravenously for four days every other week.|To determine the effect of AP 12009 administered intravenously at weekly intervals and for four days every other week on TGF-β2 plasma concentration levels.|To determine the potential antitumor activity of AP 12009 administered intravenously at weekly intervals and for four days every other week, as assessed by the effect on tumor size and tumor markers.","https://ClinicalTrials.gov/show/NCT00844064"
2719,"NCT00145665","The Role of Fluorothymidine Positron Emission Tomography (FLT-PET) in Proliferation of Colorectal Liver Metastases","Terminated","No Results Available","Colorectal Neoplasms|Liver Neoplasms","Procedure: FLT-PET scan","Radboud University","Both","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","80","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic","FLT-PET CRC-LM","September 1, 2005","January 2005","December 2012","September 2, 2011","February 2007","No Study Results Posted","null","December 2011","correlation FLT-uptake in colorectal liver metastases and the histologically determined proliferation|correlation FLT and recurrence rate","https://ClinicalTrials.gov/show/NCT00145665"
2720,"NCT00207298","18F-fluorodeoxyglucose (18F-FDG) Positron Emission Tomography in Oncology","Recruiting","No Results Available","Brain Neoplasms|Lung Neoplasms|Lymphoma|Melanoma|Colorectal Neoplasms","Procedure: Positron Emission Tomography","British Columbia Cancer Agency","Both","19 Years to 90 Years   (Adult, Senior)","Phase 3","5000","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","R05-0076","September 13, 2005","June 2005","November 2008","November 3, 2010","November 2010","No Study Results Posted","null","null","Change in management based on PET procedure|Sensitivity of PET","https://ClinicalTrials.gov/show/NCT00207298"
2721,"NCT01778595","Colon Cancer Study of Fecal Samples in Shanghai, China","Completed","No Results Available","Colorectal Neoplasms","","National Cancer Institute (NCI)|Shanghai Center for Disease Control and Prevention|BGI|National Institutes of Health Clinical Center (CC)","Both","50 Years to 75 Years   (Adult, Senior)","","700","NIH|Other","Observational","Time Perspective: Cross-Sectional","999913068|13-C-N068","January 26, 2013","January 2013","December 2015","August 6, 2016","December 2015","No Study Results Posted","null","December 2015","Participation rate, data quality","https://ClinicalTrials.gov/show/NCT01778595"
2722,"NCT00976508","Figitumumab Combined With Pegvisomant For Advanced Solid Tumors","Terminated","Has Results","Colorectal Neoplasms|Lung Neoplasms|Breast Neoplasms|Prostatic Neoplasms|Sarcoma","Drug: figitumumab|Drug: pegvisomant","Pfizer","Both","10 Years and older   (Child, Adult, Senior)","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","A4021040","September 10, 2009","November 2009","October 2012","October 23, 2013","October 2013","October 23, 2013","null","September 2011","Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Participants With Dose Limiting Toxicities (DLT)|Serum Circulating Insulin-like Growth Factor (IGF-1) Levels|Cycle 1: Maximum Observed Plasma Concentration (Cmax) of Figitumumab|Maximum Observed Plasma Concentration (Cmax) of Figitumumab|Cycle 1: Plasma Concentration at the Last Quantifiable Time Point (Clast) of Figitumumab|Plasma Concentration at the Last Quantifiable Time Point (Clast) of Figitumumab|Cycle 1: Area Under the Curve From Time Zero to Last Quantifiable Concentration (AUClast) of Figitumumab|Area Under the Curve From Time Zero to Last Quantifiable Concentration (AUClast)of Figitumumab|Area Under the Trough Concentrations (AUCtrough)|Mean Change in Glucose Levels Between Fasting and Post Glucose Load|Percentage of Participants Reporting Positive Anti-Drug Antibodies (ADA) Response for Figitumumab|Number of Participants With Objective Response","https://ClinicalTrials.gov/show/NCT00976508"
2723,"NCT02399410","Perioperative Chemotherapy With Bevacizumab for Colorectal Carcinomatosis","Not yet recruiting","No Results Available","Colorectal Neoplasms","Drug: perioperative chemotherapy plus bevacizumab|Procedure: cytoreductive surgery|Drug: Intraperitoneal Oxaliplatin","University Hospital, Ghent","Both","18 Years and older   (Adult, Senior)","Phase 2","45","Other","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UGHENT","March 9, 2015","May 2015","April 2020","March 20, 2015","March 2015","No Study Results Posted","null","August 2018","surgical morbidity and mortality|progression free survival|overall survival|treatment completion rate|chemotherapy-related toxicity|pathological gross response of peritoneal tumour deposits to neoadjuvant combination chemotherapy with bevacizumab","https://ClinicalTrials.gov/show/NCT02399410"
2724,"NCT01719926","Phase I Platinum Based Chemotherapy Plus Indomethacin","Recruiting","No Results Available","Colorectal Neoplasms|Esophageal Neoplasms|Ovarian Neoplasms","Drug: Indomethacin","UMC Utrecht","Both","18 Years to 70 Years   (Adult, Senior)","Phase 1","18","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label","NL40487.041.12","October 30, 2012","September 2012","July 2016","February 24, 2014","February 2014","No Study Results Posted","PIFA","February 2016","Number of dose limiting toxicities at each dosage cohort|Pharmacodynamics|Efficacy","https://ClinicalTrials.gov/show/NCT01719926"
2725,"NCT01542281","Pre-habilitation to Improve Outcomes in Patients Undergoing Liver Resection for Cancer","Recruiting","No Results Available","Colorectal Neoplasm|Biliary Tract Neoplasm|Liver Neoplasm","Dietary Supplement: Whey protein and dietary supplements|Other: prehab exercise","McGill University Health Center","Both","18 Years to 80 Years   (Adult, Senior)","","64","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Supportive Care","BMA-10-375","February 16, 2012","January 2012","January 2015","February 24, 2012","February 2012","No Study Results Posted","null","January 2014","Change in six minute walk test|post-operative complications|Health-related quality of life (HRQL)|Physical activity level|Depression and anxiety|Fatigue|Nutritional status","https://ClinicalTrials.gov/show/NCT01542281"
2726,"NCT02674815","Preoperative High Intensity Interval Training: The PHIIT Trial","Recruiting","No Results Available","Colorectal Neoplasms|Lung Neoplasms","Other: High Intensity Interval Training Exercise programme","University of Dublin, Trinity College","Both","18 Years and older   (Adult, Senior)","","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CRFSJ0086","January 26, 2016","February 2016","December 2016","September 12, 2016","September 2016","No Study Results Posted","PHIIT","November 2016","Cost|Adherence/Compliance|Incidence of Adverse Events|Satisfaction/Acceptability|Withdrawal of participants|Protocol deviations/Adaptations|Compliance|Postoperative mortality|Changes in Aerobic Capacity|Length of stay|Postoperative complications assessed using the Postoperative Morbidity Survey|Readmission rates|ICU/HDU admission rates|ICU/HDU length of stay|Clavien-Dindo Classification Sore","https://ClinicalTrials.gov/show/NCT02674815"
2727,"NCT00385177","Phase 1 Dose Escalation Study of SN2310 Injectable Emulsion in Patients With Advanced Solid Tumors","Completed","No Results Available","Breast Neoplasms|Colorectal Neoplasms|Pancreatic Neoplasms|Pelvic Neoplasms|Lung Neoplasms","Drug: SN2310 Injectable Emulsion","OncoGenex Technologies","Both","18 Years and older   (Adult, Senior)","Phase 1","61","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","SON-2310-06-101","October 3, 2006","September 2006","May 2009","June 2, 2009","June 2009","No Study Results Posted","null","December 2008","Maximum Tolerated Dose|Dose-Limiting Toxicity|Adverse Events|Pharmacokinetic parameters for SN2310 and SN-38","https://ClinicalTrials.gov/show/NCT00385177"
2728,"NCT01521091","Comparison of Diagnostic Accuracy for Predicting Histology of Colorectal Lesions","Completed","No Results Available","Colorectal Neoplasms","","Shanghai Jiao Tong University School of Medicine","Both","18 Years to 90 Years   (Adult, Senior)","","565","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","rjxhnk01","January 24, 2012","January 2009","December 2010","January 27, 2012","January 2012","No Study Results Posted","null","December 2010","","https://ClinicalTrials.gov/show/NCT01521091"
2729,"NCT02578264","Molecular Stethoscope","Enrolling by invitation","No Results Available","Colonic Neoplasms","","Scripps Translational Science Institute|Sequenom, Inc.","Both","18 Years to 100 Years   (Adult, Senior)","","25","Other|Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","15-6616","October 14, 2015","June 2015","July 2017","October 15, 2015","October 2015","No Study Results Posted","null","December 2016","Determining sensitivity of assay in known cancer patients","https://ClinicalTrials.gov/show/NCT02578264"
